neighborhood,current_cases,lat,long,ds
Palms,2,34.0237,-118.4151,2020-03-23
Paramount,2,33.8895,-118.1598,2020-03-23
Park La Brea,6,34.0702,-118.3497,2020-03-23
Playa Vista,3,33.9728,-118.4276,2020-03-23
Rancho Palos Verdes,1,33.7445,-118.3870,2020-03-23
Redondo Beach,5,33.8492,-118.3884,2020-03-23
Reseda,3,34.2011,-118.5360,2020-03-23
San Dimas,1,34.1067,-117.8067,2020-03-23
San Fernando,1,34.2819,-118.4390,2020-03-23
San Pedro,2,33.7361,-118.2922,2020-03-23
Santa Clarita,7,34.3917,-118.5426,2020-03-23
Santa Monica,12,34.0242,-118.4965,2020-03-23
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-23
Sherman Oaks,8,34.1500,-118.4489,2020-03-23
Silverlake,4,34.0869,-118.2702,2020-03-23
South El Monte,1,34.0493,-118.0469,2020-03-23
South Gate,1,33.9560,-118.2113,2020-03-23
South Park,1,34.0418,-118.2639,2020-03-23
South Pasadena,3,34.1165,-118.1468,2020-03-23
South Whittier,2,33.9608,-118.0417,2020-03-23
Stevenson Ranch,2,34.3873,-118.5802,2020-03-23
Studio City,7,34.1413,-118.3878,2020-03-23
Sun Valley,2,34.2274,-118.3811,2020-03-23
Sunland,1,34.2660,-118.3114,2020-03-23
Sylmar,1,34.3058,-118.4572,2020-03-23
Tarzana,8,34.1509,-118.5517,2020-03-23
Temple,1,34.1023,-118.0603,2020-03-23
Torrance,4,33.8408,-118.3454,2020-03-23
Tujunga,1,34.2633,-118.3027,2020-03-23
University Park,1,34.0315,-118.2797,2020-03-23
Valley Glen,7,34.1838,-118.4172,2020-03-23
Van Nuys,4,34.1899,-118.4514,2020-03-23
Venice,7,33.9764,-118.4667,2020-03-23
Vermont Knolls,1,33.9293,-118.2893,2020-03-23
Vermont Vista,1,33.9465,-118.2826,2020-03-23
Vernon Central,1,34.0043,-118.2570,2020-03-23
Walnut,1,34.0203,-117.8653,2020-03-23
West Adams,1,34.0342,-118.3623,2020-03-23
West Covina,1,34.0686,-117.9390,2020-03-23
