CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Reseda,,3,34.2011,-118.5360,3/23/20
San Dimas,,1,34.1067,-117.8067,3/23/20
San Fernando,,1,34.2819,-118.4390,3/23/20
San Pedro,,2,33.7361,-118.2922,3/23/20
Santa Clarita,,7,34.3917,-118.5426,3/23/20
Santa Monica,,12,34.0242,-118.4965,3/23/20
Santa Monica Mountains,,2,34.1203,-118.9318,3/23/20
Sherman Oaks,,8,34.1500,-118.4489,3/23/20
Silverlake,,4,34.0869,-118.2702,3/23/20
South El Monte,,1,34.0493,-118.0469,3/23/20
South Gate,,1,33.9560,-118.2113,3/23/20
South Park,,1,34.0418,-118.2639,3/23/20
South Pasadena,,3,34.1165,-118.1468,3/23/20
South Whittier,,2,33.9608,-118.0417,3/23/20
Stevenson Ranch,,2,34.3873,-118.5802,3/23/20
Studio City,,7,34.1413,-118.3878,3/23/20
Sun Valley,,2,34.2274,-118.3811,3/23/20
Sunland,,1,34.2660,-118.3114,3/23/20
