,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
228,Santa Fe Springs,93.0,506.43,2020-06-11,2020-06-08,7.0,33.9472,-118.0853,Southeast
229,Santa Monica,317.0,342.9,2020-06-11,2020-06-08,11.0,34.0242,-118.4965,Westside
230,Santa Monica Mountains,28.0,150.37,2020-06-11,2020-06-08,2.0,34.1203,-118.9318,
231,Saugus,4.0,2580.65,2020-06-11,2020-06-08,0.0,,,
232,Saugus/Canyon Country,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
233,Shadow Hills,11.0,247.64,2020-06-11,2020-06-08,0.0,34.2575,-118.355,San Fernando Valley
234,Sherman Oaks,277.0,317.46,2020-06-11,2020-06-08,10.0,34.15,-118.4489,San Fernando Valley
235,Sierra Madre,15.0,136.5,2020-06-11,2020-06-08,1.0,34.1617,-118.0528,San Gabriel Valley
236,Signal Hill,44.0,372.98,2020-06-11,2020-06-08,5.0,33.8045,-118.1678,Harbor
237,Silverlake,221.0,501.33,2020-06-11,2020-06-08,6.0,34.0869,-118.2702,Central L.A.
238,South Antelope Valley,1.0,219.78,2020-06-11,2020-06-08,0.0,,,
239,South Carthay,40.0,377.54,2020-06-11,2020-06-08,2.0,34.0561,-118.3734,Central L.A.
240,South El Monte,158.0,713.43,2020-06-11,2020-06-08,23.0,34.0493,-118.0469,San Gabriel Valley
241,South Gate,979.0,997.4,2020-06-11,2020-06-08,129.0,33.955999999999996,-118.2113,Southeast
242,South Park,565.0,1488.37,2020-06-11,2020-06-08,48.0,34.0418,-118.2639,Central L.A.
243,South Pasadena,140.0,537.37,2020-06-11,2020-06-08,4.0,34.1165,-118.1468,San Gabriel Valley
244,South San Gabriel,53.0,599.01,2020-06-11,2020-06-08,6.0,34.0492,-118.0949,San Gabriel Valley
245,South Whittier,222.0,374.86,2020-06-11,2020-06-08,16.0,33.9608,-118.0417,San Gabriel Valley
246,Southeast Antelope Valley,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
247,St Elmo Village,47.0,1025.31,2020-06-11,2020-06-08,-1.0,34.0431,-118.34299999999999,Central L.A.
248,Stevenson Ranch,37.0,176.48,2020-06-11,2020-06-08,1.0,34.3873,-118.5802,Northwest County
249,Studio City,88.0,392.16,2020-06-11,2020-06-08,0.0,34.1413,-118.3878,San Fernando Valley
250,Sun Valley,379.0,722.14,2020-06-11,2020-06-08,17.0,34.2274,-118.3811,San Fernando Valley
251,Sun Village,24.0,397.61,2020-06-11,2020-06-08,2.0,,,
252,Sunland,171.0,837.91,2020-06-11,2020-06-08,3.0,34.266,-118.3114,Verdugos
253,Sunrise Village,8.0,617.28,2020-06-11,2020-06-08,3.0,,,
254,Sycamore Square,1.0,154.56,2020-06-11,2020-06-08,0.0,,,
255,Sylmar,969.0,1176.0,2020-06-11,2020-06-08,57.0,34.3058,-118.4572,San Fernando Valley
256,Tarzana,278.0,900.38,2020-06-11,2020-06-08,13.0,34.1509,-118.5517,San Fernando Valley
257,Temple City,188.0,515.7,2020-06-11,2020-06-08,10.0,34.1072,-118.0579,San Gabriel Valley
258,Temple-Beaudry,402.0,1018.19,2020-06-11,2020-06-08,28.0,34.0629,-118.2513,Central L.A.
259,Thai Town,38.0,387.4,2020-06-11,2020-06-08,1.0,34.1018,-118.3036,Central L.A.
260,Toluca Lake,23.0,264.25,2020-06-11,2020-06-08,2.0,34.1502,-118.355,San Fernando Valley
261,Toluca Terrace,8.0,612.56,2020-06-11,2020-06-08,1.0,,,
262,Toluca Woods,3.0,161.46,2020-06-11,2020-06-08,0.0,,,
263,Torrance,426.0,285.39,2020-06-11,2020-06-08,12.0,33.8408,-118.3454,South Bay
264,Tujunga,137.0,492.63,2020-06-11,2020-06-08,2.0,34.2633,-118.3027,Verdugos
265,Twin Lakes/Oat Mountain,7.0,422.2,2020-06-11,2020-06-08,1.0,,,
266,University Hills,15.0,437.45,2020-06-11,2020-06-08,0.0,,,
267,University Park,259.0,943.33,2020-06-11,2020-06-08,12.0,34.0315,-118.2797,South L.A.
268,Val Verde,23.0,695.07,2020-06-11,2020-06-08,-6.0,,,
269,Valencia,11.0,358.07,2020-06-11,2020-06-08,2.0,,,
270,Valinda,131.0,560.52,2020-06-11,2020-06-08,11.0,34.0433,-117.9331,San Gabriel Valley
271,Valley Glen,159.0,529.72,2020-06-11,2020-06-08,3.0,34.1838,-118.4172,San Fernando Valley
272,Valley Village,245.0,991.1,2020-06-11,2020-06-08,19.0,34.1633,-118.3842,San Fernando Valley
273,Van Nuys,904.0,970.02,2020-06-11,2020-06-08,40.0,34.1899,-118.4514,San Fernando Valley
274,Venice,74.0,218.39,2020-06-11,2020-06-08,2.0,33.9764,-118.4667,
